patentid,countrycode
US6578689B2,US
US6932693B2,US
US6966188B2,US
US9003800B2,US
US4501197A,US
US7416344B2,US
US5730069A,US
US8164211B2,US
US4875976A,US
US5144758A,US
US5583420A,US
US5967347A,US
US6065931A,US
US8088348B2,US
US6331102B1,US
US6502399B2,US
US8596984B2,US
US8562828B2,US
US4495712A,US
US8178988B2,US
US10066532B2,US
US7982330B1,US
US5998904A,US
US6656440B2,US
US8074315B2,US
US6685516B2,US
US8196358B2,US
US7275422B2,US
US4974340A,US
US7075315B2,US
US8082748B2,US
US6814345B2,US
US4859439A,US
US6267657B1,US
US7990100B2,US
US8319364B2,US
US6151791A,US
US6345724B1,US
US8353113B2,US
US8042386B2,US
US4485567A,US
US6223520B1,US
US10527588B2,US
US8341840B2,US
US6431267B1,US
US4823688A,US
US7683556B2,US
US8368238B2,US
US9127693B2,US
US8242618B2,US
US7909572B2,US
US7354663B2,US
US8371976B2,US
US4975152A,US
US6220949B1,US
US6361296B1,US
US6065583A,US
US8818471B2,US
US5000926A,US
US5919388A,US
US8224600B2,US
US6047551A,US
US8561562B2,US
US8397486B2,US
US10177692B2,US
US7501104B2,US
US8460515B2,US
US8353979B2,US
US7695588B2,US
US6474947B1,US
US4941950A,US
US9163838B2,US
US8786867B2,US
US8901457B2,US
US9333563B2,US
US4498249A,US
US8043537B2,US
US8867688B2,US
US6030203A,US
US8033791B1,US
US8276273B2,US
US8165738B2,US
US8371030B2,US
US5010840A,US
US5840390A,US
US7578666B2,US
US7969052B2,US
US6128895A,US
US8657578B2,US
US6531049B1,US
US6789617B1,US
US6880325B2,US
US6006703A,US
US8322289B2,US
US8450867B2,US
US6315969B1,US
US6534211B1,US
US8973361B2,US
US8590464B2,US
US9653924B2,US
US10294912B2,US
US5951824A,US
US8979616B2,US
US6746287B2,US
US8402906B2,US
US9163642B2,US
US7954337B2,US
US6025298A,US
US8001790B2,US
US9328720B2,US
US9495717B2,US
US8813502B2,US
US8460586B2,US
US6986246B2,US
US8504178B2,US
US5534117A,US
US5133996A,US
US6997108B2,US
US8522636B2,US
US7936460B2,US
US8295988B2,US
US6605750B1,US
US6504068B1,US
US5515408A,US
US8212372B2,US
US8713793B2,US
US4538360A,US
US9157425B2,US
US8151572B2,US
US8186966B2,US
US8777585B2,US
US6193699B1,US
US8672628B2,US
US6486218B2,US
US5015336A,US
US5077095A,US
US8408801B2,US
US5599392A,US
US7001688B2,US
US8790433B2,US
US7482724B2,US
US7661270B2,US
US5993587A,US
US10281142B2,US
US6341937B1,US
US7766607B2,US
US9140271B2,US
US9169769B2,US
US8734095B2,US
US5785901A,US
US8038377B2,US
US4728396A,US
US6351720B1,US
US5064502A,US
US8741014B2,US
US7216548B2,US
US6161887A,US
US7749938B2,US
US6099691A,US
US8840368B2,US
US5160583A,US
US8246308B2,US
US9059620B2,US
US9169829B2,US
US9341163B2,US
US8550778B2,US
US8851844B2,US
US9157449B2,US
US8364358B2,US
US8237926B2,US
US4973441A,US
US8123232B2,US
US6116704A,US
US8974176B2,US
US5738007A,US
US9312799B2,US
US8869716B2,US
US8155813B2,US
US4860686A,US
US8794004B2,US
US6141957A,US
US8405239B2,US
US7451604B2,US
US8573950B2,US
US5010633A,US
US9714658B2,US
US8220249B2,US
US4734164A,US
US7939038B2,US
US7906919B2,US
US8869367B2,US
US6644754B2,US
US8454801B2,US
US8172542B2,US
US6237493B1,US
US6220036B1,US
US6049998A,US
US6852428B2,US
US7906090B2,US
US6190620B1,US
US9287814B2,US
US5964277A,US
US9863262B2,US
US9878388B2,US
US6857325B2,US
US6514059B1,US
US6909766B2,US
US6595724B2,US
US8324751B2,US
US8647421B2,US
US5127141A,US
US4544449A,US
US7235220B2,US
US7476081B2,US
US8061325B2,US
US7453630B2,US
US4517056A,US
US8433539B2,US
US10213888B2,US
US8739528B2,US
US6114675A,US
US8707671B2,US
US7278508B2,US
US9163188B2,US
US6230483B1,US
US6966200B2,US
US4495711A,US
US8667912B2,US
US6562728B2,US
US8232662B2,US
US6506348B1,US
US9841004B2,US
US6523352B1,US
US7704472B2,US
US9188127B2,US
US6479026B1,US
US8607716B2,US
US4649780A,US
US8435005B2,US
US8936069B2,US
US4045338A,US
US8409722B2,US
US8141335B2,US
US6079212A,US
US8215912B2,US
US8909763B2,US
US7028762B2,US
US8104408B2,US
US8317466B2,US
US9359569B2,US
US8985969B2,US
US9587515B2,US
US9045220B2,US
US6520198B1,US
US6105471A,US
US8206097B2,US
US8425360B2,US
US8408883B2,US
US5921000A,US
US4878299A,US
US5279049A,US
US5873313A,US
US6196791B1,US
US5783045A,US
US8414668B2,US
US9981331B2,US
US8777565B2,US
US8181532B2,US
US8591177B2,US
US5546675A,US
US8298108B2,US
US8876978B2,US
US4574651A,US
US9278732B2,US
US5441604A,US
US6327845B2,US
US6152694A,US
US8556583B2,US
US5152874A,US
US6558637B2,US
US5225449A,US
US6609379B2,US
US8662010B2,US
US5335743A,US
US6109525A,US
US5527628A,US
US9080454B2,US
US5033458A,US
US5329893A,US
US5337864A,US
US4495457A,US
US4512609A,US
US4531080A,US
US8846147B2,US
US4580210A,US
US5611301A,US
US4301373A,US
US5003483A,US
US5117744A,US
US5653495A,US
US7616077B1,US
US4390124A,US
US5105303A,US
US5244248A,US
US3886372A,US
US3970128A,US
US4272783A,US
US7377749B2,US
US4392368A,US
US4966403A,US
US9238595B2,US
US6988369B2,US
US4911134A,US
US5350335A,US
US9427834B2,US
US4513509A,US
US4106538A,US
US6290354B1,US
US9045992B2,US
US4386641A,US
US4778039A,US
US9127337B2,US
US4889087A,US
US4928582A,US
US6414625B1,US
US3963938A,US
US4467427A,US
US10508559B2,US
US4240477A,US
US8919136B2,US
US7619331B2,US
US5314319A,US
US4627559A,US
US5526793A,US
US4715648A,US
US5626214A,US
US4585316A,US
US4614151A,US
US9033673B2,US
US8580387B1,US
US9790802B2,US
US5365900A,US
US5186291A,US
US8920935B2,US
US9062562B2,US
US6889543B2,US
US9581039B2,US
US8541146B2,US
US9261008B2,US
US4484445A,US
US9592907B2,US
US5810426A,US
US4529151A,US
US4566569A,US
US4484550A,US
US4482156A,US
US10190426B2,US
US10239795B2,US
US4465123A,US
US9528378B2,US
US4637651A,US
US8846218B2,US
US9197088B2,US
US4823674A,US
US9284842B2,US
US7788818B1,US
US9643341B2,US
US10432016B2,US
US4589061A,US
US4391258A,US
US10128652B2,US
US9784112B2,US
US9457435B2,US
US10069494B2,US
US5578803A,US
US9638105B2,US
US9423330B2,US
US10364022B2,US
US5474198A,US
US7393145B1,US
US4848287A,US
US8991151B2,US
US10240466B2,US
US10273817B2,US
US10329930B2,US
US9803556B2,US
US10183450B2,US
US10329023B2,US
US10029799B2,US
US9415863B2,US
US5034570A,US
US7078886B2,US
US10107111B2,US
US4870296A,US
US9869621B2,US
US10019549B2,US
US5663619A,US
US10023303B2,US
US5435275A,US
US10180070B2,US
US4887191A,US
US10132171B2,US
US8997451B2,US
US10315367B2,US
USD312351S,US
US10041196B2,US
US10464690B2,US
US10000278B2,US
US9188013B2,US
US10239608B2,US
US10402678B2,US
US9828917B2,US
US9598178B2,US
US8046742B1,US
US10513345B2,US
US10504308B2,US
US9924920B2,US
US8684255B2,US
US10266254B2,US
US10471553B2,US
US10364479B2,US
US10266162B2,US
US9987781B2,US
US10160536B2,US
US10519786B2,US
US4618023A,US
US9900383B2,US
US10513945B2,US
US10309419B2,US
US4688444A,US
US5417068A,US
US7936082B2,US
US9737699B2,US
US8394056B2,US
US6759977B1,US
US6919118B2,US
US8262019B2,US
US4648367A,US
US6221475B1,US
US5960626A,US
US4440435A,US
US7663264B2,US
US5552790A,US
US5904957A,US
US5251664A,US
US8446294B2,US
US5136299A,US
US4617907A,US
US5083993A,US
US4665403A,US
US4641139A,US
US5202913A,US
US5810078A,US
US4862093A,US
US8743573B2,US
US7482709B2,US
US7728447B2,US
US7277302B2,US
US6820425B2,US
US7538521B2,US
US7205704B2,US
US4218138A,US
US6278411B1,US
US3474704A,US
US6759976B1,US
US6085865A,US
US6291058B1,US
US6740408B2,US
US5543720A,US
US7687714B2,US
US4637368A,US
US7278257B2,US
US6765524B2,US
US4452568A,US
US5095582A,US
US6680690B1,US
US6319348B1,US
US5498044A,US
US8796871B2,US
US10044296B2,US
US8640825B2,US
US7587930B2,US
US4212063A,US
US8629799B2,US
US6859166B2,US
US4952315A,US
US6425064B2,US
US7709739B2,US
US5214919A,US
US8574789B2,US
US4195883A,US
US6988356B2,US
US9218741B2,US
US6849105B2,US
US4621881A,US
US4198674A,US
US10301941B2,US
US8810179B2,US
US6629458B1,US
US7441732B2,US
US6700530B1,US
US5982238A,US
US7691440B2,US
US6881250B2,US
US7758360B2,US
US5299540A,US
US7262743B2,US
US6843114B2,US
US7210283B2,US
US4464659A,US
US5286077A,US
US5184522A,US
US8648556B2,US
US10458279B2,US
US4179707A,US
US8340832B1,US
US6782692B2,US
US5495841A,US
US5060776A,US
US8899013B2,US
US8453965B2,US
US5720627A,US
US7441691B2,US
US7895819B2,US
US8958181B2,US
US7394242B2,US
US5649680A,US
US8141817B2,US
US5452691A,US
US8960065B2,US
US7743351B2,US
US7241470B2,US
US8567716B2,US
US3917020A,US
US5259263A,US
US7410630B2,US
US4903676A,US
US4515141A,US
US5429081A,US
US4947810A,US
US4706623A,US
US8240124B2,US
US7236297B1,US
US8267351B2,US
US5220429A,US
US4614129A,US
US4785789A,US
US6758043B2,US
US6092934A,US
US8462829B2,US
US6910715B2,US
US7804981B2,US
US5624310A,US
US8907595B2,US
US4381662A,US
US5572975A,US
US10428733B2,US
US5821659A,US
US8882450B2,US
US7168421B2,US
US10018087B2,US
US5546920A,US
US8646744B2,US
US5567992A,US
US4619182A,US
US5096649A,US
US7566029B2,US
US8937574B2,US
US6684697B1,US
US7273011B2,US
US10415691B2,US
US7845220B2,US
US10352250B2,US
US4969547A,US
US10077715B2,US
US6385965B1,US
US10190946B2,US
US10323576B2,US
US7950232B2,US
US10040539B2,US
US7147434B2,US
US6959596B2,US
US10233540B2,US
US7395655B2,US
US7611329B2,US
US8724324B2,US
US8814728B2,US
US7273010B2,US
US9291176B2,US
US8876393B2,US
US5107749A,US
US5281188A,US
US9874268B2,US
US10082038B2,US
US10233998B2,US
US10247107B2,US
US10118710B2,US
US8902084B2,US
US4194236A,US
US10190437B2,US
US9214272B2,US
US9759912B2,US
US10358746B2,US
US9482182B2,US
US10436220B2,US
US8604638B2,US
US9350094B2,US
USD309287S,US
US8839629B2,US
US4582161A,US
US10410529B2,US
US9494124B2,US
US10487809B2,US
US9970877B2,US
US10124547B2,US
US8611706B1,US
US9424978B2,US
US6912053B1,US
US10047849B2,US
US10404931B2,US
US10105770B2,US
US10279308B2,US
US10443697B2,US
US10284353B2,US
US10392978B2,US
US10301225B2,US
US8207780B2,US
US10427791B2,US
US8847560B2,US
US10415671B2,US
US10167895B2,US
US3636318A,US
US3549885A,US
US3635061A,US
US3878324A,US
US8740137B2,US
US3602661A,US
US3402782A,US
US3471107A,US
US6750391B2,US
US4044913A,US
US8159385B2,US
US5264260A,US
US6859187B2,US
US7257237B1,US
US5533755A,US
US5246421A,US
US7942003B2,US
US7241112B2,US
US4550617A,US
US7384663B2,US
US6958693B2,US
US4922713A,US
US6467725B1,US
US6914344B2,US
US3997207A,US
US6830428B2,US
US7108060B2,US
US6334365B1,US
US4056684A,US
US6017189A,US
US7581932B2,US
US7170441B2,US
US7249462B2,US
US6708495B2,US
US5993156A,US
US7037078B2,US
US8000804B1,US
US8322971B2,US
US7640661B2,US
US4894985A,US
US6035645A,US
US6282881B1,US
US6905312B2,US
US7509805B2,US
US8137073B2,US
US6705836B2,US
US4372119A,US
US6909205B2,US
US7859465B2,US
US8607454B2,US
US5757286A,US
US7000404B2,US
US6655920B2,US
US6668559B2,US
US5964575A,US
US6882906B2,US
US7426873B1,US
US6009605A,US
US7021585B2,US
US10435163B2,US
US7588694B1,US
US6032901A,US
US6969874B1,US
US5686144A,US
US7677026B2,US
US6622473B2,US
US9080463B2,US
US7148661B2,US
US7271137B2,US
US5431482A,US
US5965266A,US
US3535637A,US
US7237388B2,US
US7173764B2,US
US7033136B2,US
US7308317B1,US
US7500644B2,US
US7322790B2,US
US5039171A,US
US4044355A,US
US3478988A,US
US3962895A,US
US7299621B2,US
US7066004B1,US
US6163959A,US
US7673461B2,US
US8201414B2,US
US6575697B1,US
US4005319A,US
US8684069B2,US
US5772398A,US
US6845606B2,US
US7155812B1,US
US7510778B2,US
US6622475B2,US
US6935098B2,US
US7520369B2,US
US4294149A,US
US6035929A,US
US4260160A,US
US5903130A,US
US7114337B2,US
US4960243A,US
US7121792B1,US
US6329632B1,US
US7568345B2,US
US6726446B2,US
US6490899B2,US
US8627644B2,US
US5974782A,US
US9022733B2,US
US7038150B1,US
US5859415A,US
US6129512A,US
US7345647B1,US
US7011493B2,US
US7552591B2,US
US7290769B2,US
US7887286B2,US
US8528857B2,US
US3832791A,US
US7021899B2,US
US8647066B2,US
US4965784A,US
US7707832B2,US
US8162593B2,US
US5776229A,US
US5090197A,US
US4916895A,US
US6953605B2,US
US7498681B1,US
US4951263A,US
US4098111A,US
US6200091B1,US
US6289705B1,US
US6132526A,US
US8661828B2,US
US6520743B2,US
US6567715B1,US
US4530341A,US
US8899512B2,US
US6457935B1,US
US7736554B2,US
US5623197A,US
US6789691B2,US
US3478836A,US
US8866891B2,US
US7325770B2,US
US5850138A,US
US5257530A,US
US7926281B2,US
US7234306B2,US
US7097415B2,US
US5816776A,US
US7165743B2,US
US7616850B1,US
US7517189B2,US
US6213432B1,US
US6153942A,US
US6629463B2,US
US8061997B2,US
US7811052B2,US
US6336844B1,US
US7066799B2,US
US8257029B2,US
US7363757B2,US
US8833776B2,US
US6916155B2,US
US4865256A,US
US7891165B2,US
US5941075A,US
US6676373B2,US
US4227261A,US
US6967757B1,US
US7770458B2,US
US6536109B2,US
US8877400B2,US
US6716275B1,US
US3963213A,US
US8141371B1,US
US6820469B1,US
US5871177A,US
US6881029B2,US
US7412819B2,US
US7371050B2,US
US7101173B2,US
US7500299B2,US
US3774710A,US
US4319519A,US
US7011599B2,US
US6872003B2,US
US7237378B2,US
US7309209B2,US
US6666645B1,US
US7008522B2,US
US6082967A,US
US7491031B2,US
US7120975B2,US
US6973771B2,US
US5792715A,US
US8065257B2,US
US6453788B1,US
US6464463B2,US
US3604285A,US
US8734816B2,US
US8444086B2,US
US7785075B2,US
US6837085B2,US
US6070412A,US
US4914905A,US
US7048497B2,US
US3977734A,US
US7114914B2,US
US8261891B2,US
US7037071B2,US
US5297387A,US
US4537929A,US
US8162602B2,US
US4517646A,US
US7680630B2,US
US4304530A,US
US7478534B2,US
US8677732B2,US
US9616629B2,US
US6802476B2,US
US8604733B2,US
US5267438A,US
US7972115B2,US
US8496431B2,US
US5819528A,US
US7938359B2,US
US7909573B2,US
US6965709B1,US
US4919492A,US
US7751878B1,US
US7049622B1,US
US7108224B2,US
US6281622B1,US
US7938626B2,US
US7524112B2,US
US7224082B2,US
US6029439A,US
US7106448B1,US
US7007890B2,US
US8383979B2,US
US8172526B2,US
US6183888B1,US
US8094023B1,US
US7064817B1,US
US7584618B2,US
US8206067B2,US
US6799427B2,US
US8033114B2,US
US7029227B2,US
US7338590B1,US
US5871176A,US
US7707909B2,US
US7987574B2,US
US6896038B2,US
US6966614B2,US
US6445099B1,US
US6079201A,US
US7942568B1,US
US7369922B2,US
US5725338A,US
US7351035B2,US
US5614831A,US
US6338578B1,US
US7249721B2,US
US6497100B2,US
US5779192A,US
US6933648B2,US
US8844861B2,US
US5843585A,US
US7690185B2,US
US8049132B2,US
US7017350B2,US
US8092183B2,US
US7028481B1,US
US6474596B1,US
US8876462B2,US
US6334755B1,US
US6508093B2,US
US8290961B2,US
US6752598B2,US
US7011894B2,US
US7658077B2,US
US8931253B2,US
US6811118B2,US
US6486640B2,US
US4350389A,US
US6717420B2,US
US6802980B1,US
US7789619B2,US
US3832895A,US
US8744813B2,US
US7948153B1,US
US7641442B2,US
US7040082B2,US
US5040730A,US
US8100629B2,US
US4976466A,US
US6648592B2,US
US8529208B2,US
US6802692B2,US
US7384197B2,US
US7857581B2,US
US6109867A,US
US7941014B1,US
US6256980B1,US
US7408512B1,US
US7052632B2,US
US7168913B2,US
US7569251B2,US
US8657647B2,US
US8177490B2,US
US9404420B2,US
US6834546B2,US
US7278208B2,US
US5899241A,US
US10018050B2,US
US6672533B1,US
US7362235B1,US
US7770398B2,US
US7040866B2,US
US7165402B2,US
US7891193B2,US
US6823676B2,US
US6758438B2,US
US5974783A,US
US7037070B2,US
US6001419A,US
US6679062B2,US
US7865289B2,US
US8569188B2,US
US7322180B2,US
US7390201B1,US
US7494557B1,US
US7458769B2,US
US6675585B2,US
US5934067A,US
US8381901B2,US
US7128529B2,US
US5846125A,US
US6981845B2,US
US6398483B1,US
US6581902B2,US
US7070387B2,US
US8991242B2,US
US6216980B1,US
US7180243B2,US
US8584356B2,US
US8806926B2,US
US8876647B2,US
US9216826B2,US
US6699011B2,US
US8215910B2,US
US8940417B2,US
US7420501B2,US
US8137071B2,US
US8602352B2,US
US7299711B1,US
US7640752B2,US
US6959551B2,US
US8272833B2,US
US8221836B2,US
US7420225B1,US
US6922150B2,US
US7074506B2,US
US6397581B1,US
US5937653A,US
US6688846B2,US
US7952244B2,US
US7687021B2,US
US6328531B1,US
US8186163B2,US
US7290982B2,US
US6857851B2,US
US5890274A,US
US7785066B2,US
US3915307A,US
US7364402B2,US
US3630472A,US
US8190295B1,US
US7055304B2,US
US5035379A,US
US6732532B2,US
US6775984B2,US
US8820478B2,US
US7972107B2,US
US7591136B2,US
US7298010B1,US
US7556474B2,US
US7527220B2,US
US9988987B2,US
US7748222B2,US
US7866943B2,US
US6954692B2,US
US7733198B1,US
US6677685B2,US
US7758302B2,US
US8881392B2,US
US7422644B2,US
US7753612B2,US
US9032803B2,US
US6148605A,US
US9162750B2,US
US7588416B2,US
US6382660B1,US
US4018466A,US
US8209834B2,US
US7334996B2,US
US7690184B2,US
US8205497B1,US
US4480815A,US
US7607213B2,US
US7238247B2,US
US5796084A,US
US7673460B2,US
US6765242B1,US
US7040811B2,US
US7458411B2,US
US8246310B2,US
US8455103B2,US
US6068930A,US
US6890151B2,US
US7051656B1,US
US6210630B1,US
US9353641B2,US
US5725182A,US
US5640164A,US
US5937636A,US
US3728846A,US
US7788929B2,US
US7355720B1,US
US6948370B2,US
US8558878B2,US
US6044641A,US
US7506499B2,US
US7305898B2,US
US7278827B2,US
US3466609A,US
US7582174B2,US
US7310939B2,US
US6915689B2,US
US7071445B2,US
US9616458B2,US
US6918470B2,US
US7601288B2,US
US6595401B2,US
US8299785B2,US
US8875393B2,US
US7040098B2,US
US5852928A,US
US7594324B2,US
US8303258B2,US
US7794395B2,US
US6655148B2,US
US9677404B2,US
US8100644B2,US
US8087298B1,US
US7854411B2,US
US7372175B2,US
US6261003B1,US
US6363593B1,US
US8985952B2,US
US6799945B2,US
US5284015A,US
US5871175A,US
US6809313B1,US
US5190247A,US
US8426326B2,US
US5785249A,US
US8763406B2,US
US8740140B2,US
US8002489B2,US
US8562768B2,US
US7849696B2,US
US5893265A,US
US8784043B2,US
US9257051B2,US
US9004548B2,US
US7034271B1,US
US7234920B2,US
US3927480A,US
US6390771B1,US
US7276468B1,US
US4287784A,US
US7527470B2,US
US4886036A,US
US6776573B2,US
US6572371B1,US
US7200912B2,US
US7214034B2,US
US7360989B2,US
US7775051B2,US
US8087890B2,US
US7401869B2,US
US9228449B2,US
US8857150B2,US
US7509736B2,US
US8560272B2,US
US6595000B2,US
US5207535A,US
US6193326B1,US
US8397286B2,US
US7572088B2,US
US6174570B1,US
US7195444B2,US
US7390170B2,US
US7431197B2,US
US9227723B2,US
US10072580B2,US
US8616853B2,US
US6700222B2,US
US3423848A,US
US7334332B2,US
US9145204B2,US
US9199345B2,US
US8123439B2,US
US6916151B2,US
US7192250B2,US
US8177497B2,US
US8163088B2,US
US6830427B2,US
US8282756B2,US
US7108484B2,US
US7600383B2,US
US3901543A,US
US7695248B2,US
US7826065B1,US
US6939104B2,US
US5992577A,US
US7367758B2,US
US6663192B2,US
US7004198B1,US
US7125497B1,US
US8893514B2,US
US8736482B2,US
US7667833B1,US
US8646574B2,US
US7458771B2,US
US5820347A,US
US5653880A,US
US7306875B2,US
US5896658A,US
US7788806B2,US
US6428281B1,US
US8977362B2,US
US3819150A,US
US6993914B2,US
US10180069B2,US
US8136362B2,US
US7683310B1,US
US7838083B1,US
US4119317A,US
US8333344B2,US
US8870545B2,US
US7614845B2,US
US3926216A,US
US8673646B2,US
US7667200B1,US
US5615549A,US
US8294408B2,US
US7171328B1,US
US9284041B2,US
US7427262B2,US
US7217100B2,US
US8136577B2,US
US4483436A,US
US9121295B2,US
US8980027B2,US
US4221283A,US
US5906459A,US
US8528317B2,US
US6505489B2,US
US7258524B2,US
US6991433B2,US
