title,industry
Volvo Car Corp,Automotive Industry
Volvo Car Corp,Automotive
Volvo Bussar Ab,Bus Manufacturing
Volvo Aero Corp,Automotive Industry
Volvo Aero Corp,Automotive
Volkswagen Aktiengesellschaft,Automotive Industry
Volkswagen Aktiengesellschaft,Automotive
Volkswagen Ag,Automotive Industry
Volkswagen Ag,Automotive
Voestalpine Stahl Linz Gmbh,Steel
Voestalpine Stahl Linz Gmbh,Steel-Based Technology Capital Goods
Voestalpine Stahl Gmbh,Steel
Voestalpine Stahl Gmbh,Steel-Based Technology Capital Goods
Vodafone Ip Licensing Ltd,Telecommunications
Vodafone Ip Licensing Ltd,Mobile Phone
Vodafone Ip Licensing Ltd,Mobile
Vodafone Ip Licensing Ltd,Isp
Vodafone Gmbh,Telecommunications
Vocollect Inc,Automated Identification And Data Capture
Vocollect Inc,Aidc
Vivint Inc,Security Systems
Vivint Inc,Fire Detection
Vivint Inc,Home Automation
Visual Sports Systems Inc.,Anime And Music Production
Visual Sports Systems Inc.,Video Game Publisher
Visual Awareness Technologies & Consulting Inc,Internet
Vista Outdoor Operations Llc,Shooting Sports And Outdoor Products
Visionics Corp,Fashion
Visionics Corp,Manufacturing
Visa International Service Association,Financial Services
"Virtual Network Communications, Inc.",Telecommunications
Virtual Network Communications Inc,Telecommunications
"Virtual Iris Studios, Inc.",Unbulleted List
"Virtual Iris Studios, Inc.",Consumer Electronics
"Virtual Iris Studios, Inc.",Software Services
"Virtual Iris Studios, Inc.",Online Services
"View, Inc.",Smart Glass
"View, Inc.",Smart Building Solutions
Vidoop Llc,Computer Security
Vidacare Corporation,Medical Equipment
Vid Inc,Video Game Development And Publishing
Vickers Shipbuilding And Engineering Ltd,Shipbuilding
Vickers Shipbuilding And Engineering Ltd,Marine Engineering
Viasat Inc,Telecommunication
Viasat Inc,Communications
Via Tech Inc,Unbulleted List
Via Tech Inc,Computer Hardware
Via Tech Inc,Custom Embedded Electronics
Veyance Technologies Inc,Automotive Industry
Veyance Technologies Inc,Automotive
Vestel Elektronik Sanayi Ve Ticaret As,Major Appliance
Vestel Elektronik Sanayi Ve Ticaret As,Consumer Electronics
Vestel Elektronik Sanayi Ve Ticaret As,Home Appliances
Vestel Elektronik Sanayi Ve Ticaret As,Information Technology
Vertiv Corp,Electrical Equipment
Vertex Pharma,Pharmaceuticals & Biotherapy
Vertex Pharma,Biotherapeutics
Verso Tech Inc,Asset Management
Verizon Patent And Licensing Inc,Plainlist
Verizon Patent And Licensing Inc,Telecommunications Industry
Verizon Patent And Licensing Inc,Telecommunications Mass Media
Verizon Media Llc,Nowrap
Verizon Media Llc,Wireless Telecommunications
Verizon Laboratories Inc,Plainlist
Verizon Laboratories Inc,Telecommunications Industry
Verizon Laboratories Inc,Telecommunications Mass Media
Verizon Digital Media Services Inc,Internet
Verizon Deutschland Gmbh,Telecommunications
Verizon Corporate Services Group Inc,Plainlist
Verizon Corporate Services Group Inc,Telecommunications Industry
Verizon Corporate Services Group Inc,Telecommunications Mass Media
Verizon Communications Inc,Plainlist
Verizon Communications Inc,Telecommunications Industry
Verizon Communications Inc,Telecommunications Mass Media
Veritas Technologies Llc,Information Management
Verily Life Sciences Llc,Plainlist
Verily Life Sciences Llc,Health Care  Biotechnology
Verastem Inc,Pharmaceutical Industry
Veoneer Us Inc,Automotive Safety
Ventana Medical Systems Inc,Medical Industry
Ventana Medical Systems Inc,Medical
Vectronix Inc,Solutions And Services In Optronics
Vectronix Inc,Avionics
Vectronix Inc,Electronics And Critical Software For Both Civil And Military Markets.
Vectra Networks Inc,Information Security
Vector Launch Inc,Aerospace Engineering
Vector Launch Inc,Aerospace
Vecna Robotics Inc,Plainlist
Vecna Robotics Inc,Robotics  Technology  Logistics
Varta Ag,Electrical Equipment
Varian Semiconductor Equipment,Semiconductor
Varian Semiconductor Equipment,Semiconductor Equipment & Materials
Varian Medical Systems Inc,Medical Technology
Valmet Automotive Oy,Automotive Industry Contract Manufacturer
Valmet Automotive Oy,Contract Manufacturing Battery Manufacturer
Valeo Vision Sa,Automotive
Vutek Inc,Digital Imaging Technology
Vungle Inc,Financial Services
Vmware Inc,Unbulleted List
Vmware Inc,Cloud Computing
Vmware Inc,Virtualization
Vmware Inc,Computer Software
Via Technologies Inc,Unbulleted List
Via Technologies Inc,Computer Hardware
Via Technologies Inc,Custom Embedded Electronics
Via Inc,Rail Transport
Varmour Networks Inc,Private Equity
V-Core Technologies Inc,Conglomerate (Company)
V-Core Technologies Inc,Conglomerate
Uvision Air Ltd,Military
Uvision Air Ltd,Military And Defense
Utility Associates Inc,Enterprise Software
Usinor Sacilor,Steel Industry
Usinor Sacilor,Steel
Usinor Sa,Steel Industry
Usinor Sa,Steel
Upjohn Co,Pharmaceutical Industry
Upjohn Co,Pharmaceutical
Uop Llc,Engineering
Unmanned Innovation Inc,Unmanned Aerial Vehicle
Unmanned Innovation Inc,Uav Systems
University Technologies International Inc,Enterprise Software
Universal Tech Corp,Ubl
Universal Tech Corp,Entertainment
Universal Tech Corp,Music Industry
Universal Tech Corp,Music
Universal Display Corp,Display
Universal Display Corp,Lighting
Universal Display Corp,Technology
Universal Display Corp,Computer Hardware
Univ Indiana Res & Tech Corp,Film Industry
Univ Indiana Res & Tech Corp,Film
United Therapeutics Corp,Biotechnology
United Technologies Motor Systems Inc,Manufacturing
United Technologies Diesel Systems Inc,Heavy Equipment (Construction)
United Technologies Diesel Systems Inc,Heavy Equipment
United Technologies Diesel Systems Inc,Automotive Industry
United Technologies Diesel Systems Inc,Automotive
United Technologies Corporation,Conglomerate (Company)
United Technologies Corporation,Conglomerate
United Technologies Corp.,Conglomerate (Company)
United Technologies Corp.,Conglomerate
United Technologies Corp A Usa,Conglomerate (Company)
United Technologies Corp A Usa,Conglomerate
United Technologies Corp <Utc>,Conglomerate (Company)
United Technologies Corp <Utc>,Conglomerate
United Technologies Corp,Conglomerate (Company)
United Technologies Corp,Conglomerate
United Technologies Automotive Trim Inc,Health Care Products Manufacturing
United Space Alliance Llc,Space Industry
United Space Alliance Llc,Space
United Services Automobile Association (Usaa),Ubl
United Services Automobile Association (Usaa),Banking
United Services Automobile Association (Usaa),Financial Services
United Services Automobile Association (Usaa),Insurance
United Security Appl Id Inc,Managed File Transfer
United Security Appl Id Inc,Information Security
United Security Appl Id Inc,
United Security Appl Id Inc,Network Management
United Security Appl Id Inc,Ssh File Transfer Protocol
United Security Appl Id Inc,Secure File Transfer
United Parcel Service Of America Inc,Courier
United Nuclear Corp,Unbulleted List
United Nuclear Corp,Nuclear Mining
United Nuclear Corp,Research
United Nuclear Corp,Applications
United Nuclear Corp,Aviation Services
United Aircraft Corp,Aerospace
Unisys Corp,Information Technology Consulting Outsourcing
Unison Industries Llc,Aviation & Aerospace
Union Oil Co Of California,Petroleum Industry
Union Oil Co Of California,Petroleum
Union Oil Co,Petroleum Industry
Union Oil Co,Petroleum
Union Carbide Chemicals And Plastics Technology Llc,Chemical Industry
Union Carbide Chemicals And Plastics Technology Llc,Chemicals
Unilever Plc,Fast-Moving Consumer Goods
Unilever Plc,Consumer Goods
Unilever Nv,Food
Unilever N.V.,Fast-Moving Consumer Goods
Unilever N.V.,Consumer Goods
Under Armour Inc,Textile Industry
Under Armour Inc,Textile
Under Armour Inc,Sports Equipment
Ultracell Inc,Computers
Ultra Electronics Ltd,Defence
Ultra Electronics Ltd,Security
Ultra Electronics Ltd,Critical Detection & Control
Ulab Systems Inc,Health Care
Ukiah Software Inc,Unbulleted List
Ukiah Software Inc,Healthcare Equipment And Services
Udelv Inc,Ublist
Udelv Inc,Automotive
Udelv Inc,Autonomous Cars
Ubiquiti Networks Inc,Computer Networking
Ubiquiti Networks Inc,Energy
Uber Technologies Inc,Ubl
Uber Technologies Inc,Transportation
Uber Technologies Inc,Mobility As A Service
Utc Power Llc,Conglomerate (Company)
Utc Power Llc,Conglomerate
Usens Inc,Human-Computer Interaction
Usens Inc,Human Machine Interface
Usens Inc,Computer Vision
Usens Inc,Artificial Intelligence
Usa Technologies Inc,Point Of Sale Software
Usa Instruments Inc,Electronics Watchmaking
United Electronic Industries Inc,Defense Industry
United Electronic Industries Inc,Defense
Tyco Investment Corp,Security
Tyco Healthcare Group Lp,Security
Tyco Fire And Security Gmbh,Conglomerate (Company)
Tyco Fire And Security Gmbh,Conglomerate
Tyco Fire Products Lp,Security
Tyco Electronics Uk Ltd,Security
Tyco Electronics Corp,Security
Two Wheels Technology Co Ltd,Automobile Manufacturing
Twitter Inc,Internet
Twitter Inc,Social Media
Turtle Beach Corp,Ubl
Turtle Beach Corp,Sound Card
Turtle Beach Corp,Gaming Audio
Turtle Beach Corp,Video Game Accessory
Turtle Beach Corp,Gaming Accessories
Tusimple Inc,Trucking
Tttech Auto Ag,Automotive Industry
Tttech Auto Ag,Automotive
Trw Inc,Automotive Industry
Trw Inc,Automotive And Aerospace
Trustwave Holdings Inc,Managed Security Service
Trustwave Holdings Inc,Managed Security Services
Trustwave Holdings Inc,Information Security
Trustwave Holdings Inc,Cloud Computing
"Trusted Information Systems, Inc.",Computer Software
"Trusted Information Systems, Inc.",Computer Security
Trusted Information Systems Inc,Computer Software
Trusted Information Systems Inc,Computer Security
True Product Id Technology (Beijing) Limited,Video Codec Technology
Trojan Battery Corp,Conglomerate (Company)
Trojan Battery Corp,Conglomerate
Trojan Battery Corp,Building Materials
Trojan Battery Corp,Building Products
Trojan Battery Corp,Avionics
Trojan Battery Corp,Aerospace And Arms Industry
Trojan Battery Corp,Defense
Trojan Battery Corp,Garage Doors
Trojan Battery Corp,Plastics
Trion World Network Inc,Video Game Industry
Trion World Network Inc,Video Games
Trinity Industries Inc,Conglomerate (Company)
Trinity Industries Inc,Conglomerate
Trimble Navigation Limited,Geospatial
Trimble Navigation Limited,Construction
Trimble Navigation Limited,Agriculture
Trimble Navigation Limited,Transportation And Logistics
Trimble Navigation Limited,Telecommunications
Trimble Navigation Limited,Asset Tracking
Trimble Navigation Limited,Mapping
Trimble Navigation Limited,Utilities
Trimble Navigation Limited,Mobile Resource Management
Trimble Navigation Limited,Government
Trimble Navigation Limited,Rfid
Trimble Inc,Geospatial
Trimble Inc,Construction
Trimble Inc,Agriculture
Trimble Inc,Transportation And Logistics
Trimble Inc,Telecommunications
Trimble Inc,Asset Tracking
Trimble Inc,Mapping
Trimble Inc,Utilities
Trimble Inc,Mobile Resource Management
Trimble Inc,Government
Trimble Inc,Rfid
Tribune Broadcasting Co Llc,Plainlist
Tribune Broadcasting Co Llc,Terrestrial Television
Tribune Broadcasting Co Llc,Broadcast Television  Terrestrial Radio
Tribune Broadcasting Co Llc,Radio
Tri Star Electronics International Inc,Nowrap
Tri Star Electronics International Inc,Consumer Electronics
Tri Star Electronics International Inc,Home Appliances Computer Hardwares
Trend Micro Inc,Computer Software
Treated Air Systems Inc.,Software
Transcore Inc,Conglomerate (Company)
Transcore Inc,Conglomerate
Trane Us Inc,Equipment Manufacturing
Trafalgar Associates Llc,Manufacturing
Trading Technologies International Inc,Financial Services
Tracor Aerospace Electronic Systems Inc,Aerospace And Arms Industry
Tracor Aerospace Electronic Systems Inc,Defense
Tracfone Wireless Inc,Telecommunications
Tracer Detection Technology Corp,Science & Technology
Toyota Research Institute Inc,Automotive Industry
Toyota Research Institute Inc,Automotive
Toyota Motor Europe Nv/Sa,Automotive
Toyota Motor Europe,Automotive Industry
Toyota Motor Europe,Automotive
Toyota Motor Engineering And Manufacturing North America Inc,Automotive Industry
Toyota Motor Engineering And Manufacturing North America Inc,Automotive
Toyota Motor Corp,Automotive Industry
Toyota Motor Corp,Automotive
Toyota Industries Corp,Manufacturing
Toyobo Co Ltd,Textile Industry
Toyobo Co Ltd,Textile
Toto Ltd.,Manufacturing / Ceramics
Total Raffinage Chimie,Unbulleted List
Total Raffinage Chimie,Petroleum Industry
Total Raffinage Chimie,Petroleum
Total Raffinage Chimie,Energy Industry
Total Raffinage Chimie,Energy
Toshiba Research Europe Ltd,Conglomerate (Company)
Toshiba Research Europe Ltd,Conglomerate
Toshiba Memory Corp,Conglomerate (Company)
Toshiba Memory Corp,Conglomerate
Toshiba Kk,Computer Hardware
Toshiba Kk,Electronics
Toshiba Infrastructure Systems And Solutions Corp,Conglomerate (Company)
Toshiba Infrastructure Systems And Solutions Corp,Conglomerate
Toshiba Corp,Conglomerate (Company)
Toshiba Corp,Conglomerate
Toshiba America Electronic Components Inc,Conglomerate (Company)
Toshiba America Electronic Components Inc,Conglomerate
Toronto-Dominion Bank,Financial Services
Toray Silicone Co Ltd,Chemical Industry
Toray Silicone Co Ltd,Chemicals
"Toray Industries, Inc.",Chemical Industry
"Toray Industries, Inc.",Chemicals
"Toray Industries, Inc.",Textile Industry
"Toray Industries, Inc.",Textiles
Toray Industries Inc,Chemical Industry
Toray Industries Inc,Chemicals
Toray Industries Inc,Textile Industry
Toray Industries Inc,Textiles
Toray Industries,Chemical Industry
Toray Industries,Chemicals
Toray Industries,Textile Industry
Toray Industries,Textiles
"Toppan Forms Co., Ltd.",Printing
Topp; William C.,Collectable
Topp; William C.,Collectibles
Topp; William C.,Confectionery
Topcon Positioning Systems Inc,Electronics
Topcon Kk,Electronics
Top Flight Technologies Inc,Aerospace Engineering
Top Flight Technologies Inc,Aerospace
Tokyo Electron Ltd,Electronics Semiconductors
Tokyo Electric Power Co Inc,Electric Utility
"Tokyo Color Gravure Industrial Co., Ltd.",Chemical Industry
"Tokyo Color Gravure Industrial Co., Ltd.",Chemicals
Tokuyama Corporation,Chemical Industry
Tokuyama Corporation,Chemicals
Tohoku Electric Power Company Inc,Electric Utility
Tohoku Electric Power Co Inc,Electric Utility
Tobii Ab,Hardware And Software Development
Tive Inc,Health Care
Titanium Metals Corp,Titanium Alloy Production
Timken Co,Manufacturing
Time Warner Cable Enterprises Llc,Telecommunications<Br/>Mass Media
"Tiger Light, Inc.",Video Game Industry
"Tiger Light, Inc.",Video Games
"Tiger Light, Inc.",Consumer Electronics
"Tiger Light, Inc.",Audio Games
Thyssenkrupp Vdm Gmbh,Stainless Steel
Thyssenkrupp Titanium Gmbh,Stainless Steel
Thyssenkrupp Tailored Blanks Gmbh,Conglomerate (Company)
Thyssenkrupp Tailored Blanks Gmbh,Conglomerate
Thyssenkrupp System Engineering Gmbh,Conglomerate (Company)
Thyssenkrupp System Engineering Gmbh,Conglomerate
Thyssenkrupp System Engineering Ag,Conglomerate (Company)
Thyssenkrupp System Engineering Ag,Conglomerate
Thyssenkrupp Steel Europe Ag,Conglomerate (Company)
Thyssenkrupp Steel Europe Ag,Conglomerate
Thyssenkrupp Steel Ag,Conglomerate (Company)
Thyssenkrupp Steel Ag,Conglomerate
Thyssenkrupp Stairlifts B.V.,Conglomerate (Company)
Thyssenkrupp Stairlifts B.V.,Conglomerate
Thyssenkrupp Stahl Ag.,Conglomerate (Company)
Thyssenkrupp Stahl Ag.,Conglomerate
Thyssenkrupp Marine Systems Gmbh,Shipbuilding
"Thyssenkrupp Elevator Manufacturing Spain, S.L.",Conglomerate (Company)
"Thyssenkrupp Elevator Manufacturing Spain, S.L.",Conglomerate
Thyssenkrupp Elevator Manufacturing Spain S.L.,Conglomerate (Company)
Thyssenkrupp Elevator Manufacturing Spain S.L.,Conglomerate
Thyssenkrupp Elevator Manufacturing Spain S L,Conglomerate (Company)
Thyssenkrupp Elevator Manufacturing Spain S L,Conglomerate
Thyssenkrupp Elevator Ag,Conglomerate (Company)
Thyssenkrupp Elevator Ag,Conglomerate
Thyssenkrupp Electrical Steel Gmbh,Steel Industry
Thyssenkrupp Airport Solutions Sa,Construction Industry
Thyssenkrupp Airport Solutions Sa,Construction
Thyssenkrupp Ag,Conglomerate (Company)
Thyssenkrupp Ag,Conglomerate
Thyssenkrupp Xervon Energy Gmbh,Industrial Services
Thyssenkrupp Technologies Ag,Conglomerate (Company)
Thyssenkrupp Technologies Ag,Conglomerate
Thyssenkrupp Infrastructure Gmbh,Conglomerate (Company)
Thyssenkrupp Infrastructure Gmbh,Conglomerate
Thyssenkrupp Industrie Ag,Steel Industry
Thyssenkrupp Industrie Ag,Steel
Thyssenkrupp Gft Gleistechnik Gmbh,Conglomerate (Company)
Thyssenkrupp Gft Gleistechnik Gmbh,Conglomerate
Thyssenkrupp Elevator Corp,Transport
Thyssenkrupp Elevator Corp,Transport Systems
Thyssenkrupp Elevator Capital Corp,Engineering And Service
Thyssenkrupp Carbon Components Gmbh,Conglomerate (Company)
Thyssenkrupp Carbon Components Gmbh,Conglomerate
Thyssenkrupp Budd Co,Conglomerate (Company)
Thyssenkrupp Budd Co,Conglomerate
Thyssenkrupp Bilstein Of America Inc,Conglomerate (Company)
Thyssenkrupp Bilstein Of America Inc,Conglomerate
Thyssenkrupp Bilstein Gmbh,Conglomerate (Company)
Thyssenkrupp Bilstein Gmbh,Conglomerate
Thyssenkrupp Automotive Systems Gmbh,Conglomerate (Company)
Thyssenkrupp Automotive Systems Gmbh,Conglomerate
Thyssenkrupp Automotive Ag,Conglomerate (Company)
Thyssenkrupp Automotive Ag,Conglomerate
Thyssen Stearns Inc,Private Equity
Thyssen Stahl Ag,Conglomerate (Company)
Thyssen Stahl Ag,Conglomerate
Thyssen Krupp Stahl Ag,Steel Industry
Thyssen Krupp Stahl Ag,Steel
Thyssen Industrie Ag,Steel Industry
Thyssen Industrie Ag,Steel
Thyssen Elevator Capital Corp,Engineering And Service
Thyssen Edelstahlwerke Ag,Steel Industry
Thyssen Edelstahlwerke Ag,Steel
Threat Guard Inc,Network Security And Computer Security
Thomson-Lcd,Consumer Electronics
Thomson-Lcd,Home Appliances
Thomson-Lcd,Finance
Thomson-Csf Sextant,Aerospace   Defense Industry
Thomson-Csf Sextant,Defence   Electronics
Thomson-Brandt Sa,Plainlist
Thomson-Brandt Sa,Creative Services  Technology Company
Thomson-Brandt Sa,Technology  Broadband
Thomson Multimedia Sa,Plainlist
Thomson Multimedia Sa,Creative Services  Technology Company
Thomson Multimedia Sa,Technology  Broadband
Thomson Licensing,Plainlist
Thomson Licensing,Creative Services  Technology Company
Thomson Licensing,Technology  Broadband
Thomson Consumer Electronics Sa,Plainlist
Thomson Consumer Electronics Sa,Creative Services  Technology Company
Thomson Consumer Electronics Sa,Technology  Broadband
Thomson Consumer Electronics Inc,Plainlist
Thomson Consumer Electronics Inc,Creative Services  Technology Company
Thomson Consumer Electronics Inc,Technology  Broadband
Thiokol Corp,Aerospace
Thiokol Corp,Manufacturing
Thiokol Corp,Chemicals
Thetaray Ltd,Big Data
Thetaray Ltd,Big Data Analytics
"The Yokohama Rubber Co., Ltd.",Manufacturing
The Procter & Gamble Company,Fast-Moving Consumer Goods
The Procter & Gamble Company,Consumer Goods
"The Nano Group, Inc.",Unbulleted List
"The Nano Group, Inc.",Energy
"The Nano Group, Inc.",Automotive
The Minnesota Mining & Manufacturing Company,Conglomerate (Company)
The Minnesota Mining & Manufacturing Company,Conglomerate
The Kerr Corporation,Energy
"The Genetics Company, Inc.",Biotechnology
"The General Electric Company, Plc",Engineering
The Dow Chemical Company,Chemical Industry
The Dow Chemical Company,Chemicals
"The Charles Stark Draper Laboratory, Inc.",Defense
"The Charles Stark Draper Laboratory, Inc.",Space
"The Charles Stark Draper Laboratory, Inc.",Biomedical
"The Charles Stark Draper Laboratory, Inc.",Energy Industry
"The Charles Stark Draper Laboratory, Inc.",Energy
The Button Corporation Oy,Information Technology
The Boeing Company,Unbulleted List
The Boeing Company,Aerospace Manufacturer
The Boeing Company,Aerospace
The Boeing Company,Arms Industry
The Boeing Company,Defense
Thales Esecurity Ltd,Aerospace
Thales Esecurity Ltd,Arms Industry
Thales Esecurity Ltd,Defence
Thales Esecurity Ltd,Transport
Thales Esecurity Ltd,Security
Thales Esecurity Ltd,Electronics
Thales Training And Simulation Ltd,Aerospace Engineering
Thales Training And Simulation Ltd,Aerospace
Thales Security Solutions And Services Gmbh,Aerospace
Thales Security Solutions And Services Gmbh,Arms Industry
Thales Security Solutions And Services Gmbh,Defence
Thales Security Solutions And Services Gmbh,Transport
Thales Security Solutions And Services Gmbh,Security
Thales Security Solutions And Services Gmbh,Electronics
Thales Sa,Aerospace
Thales Sa,Arms Industry
Thales Sa,Defence
Thales Sa,Transport
Thales Sa,Security
Thales Sa,Electronics
Thales Resources Inc,Aerospace Industry
Thales Resources Inc,Defense (Military)
Thales Resources Inc,Defense
Thales Research And Technology Uk Ltd,Aerospace
Thales Research And Technology Uk Ltd,Arms Industry
